insult,Unnamed: 0,date,target,tweet
Fake News,431,431,430,431
Crooked,266,266,266,266
Sleepy Joe,129,129,129,129
failing,82,82,82,82
Crooked Hillary,77,77,77,77
Witch Hunt,76,76,76,76
Fake News Media,71,71,71,71
Do Nothing Democrats,57,57,57,57
FAKE NEWS,52,52,52,52
Impeachment Hoax,43,43,43,43
Failing,35,35,35,35
dishonest,35,35,35,35
Mini Mike,34,34,34,34
Lamestream Media,33,33,33,33
Corrupt,31,31,31,31
Fake,31,31,31,31
phony,29,29,29,29
Fake News!,28,28,28,28
corrupt,26,26,26,26
Witch Hunt!,26,26,26,26
Sleepy Joe Biden,26,26,26,26
Crazy Nancy,25,25,25,25
Crazy Bernie,24,24,24,24
MSDNC,23,23,23,23
Sad!,22,22,22,22
incompetent,21,21,21,21
Mini Mike Bloomberg,20,20,20,20
Pocahontas,20,20,20,20
rigged,20,20,20,20
Hoax,19,19,19,19
a disaster,19,19,19,19
"Radical Left, Do Nothing Democrats",19,19,19,19
FAKE NEWS!,19,19,19,19
LameStream Media,18,18,18,18
RINO,17,17,17,17
ridiculous,17,17,17,17
Radical Left,16,16,16,16
Crazy,16,16,16,16
Shifty Schiff,16,16,16,16
lightweight,16,16,16,16
13 Angry Democrats,15,15,15,15
Disgraceful!,15,15,15,15
Cryin’ Chuck,14,14,14,14
Cryin’ Chuck Schumer,14,14,14,14
dopey,14,14,14,14
loser,14,14,14,14
Rigged,13,13,13,13
failed,13,13,13,13
weak,12,12,12,12
a corrupt politician,12,12,12,12
Rigged Election!,12,12,12,12
Goofy,12,12,12,12
Rigged Witch Hunt,12,12,12,12
all talk and no action,11,11,11,11
dummy,11,11,11,11
terrible,11,11,11,11
Do Nothing Dems,11,11,11,11
horrible,11,11,11,11
totally biased,11,11,11,11
thugs,10,10,10,10
biased,10,10,10,10
Lyin',10,10,10,10
#FakeNews,10,10,10,10
lies,10,10,10,10
FAKE,10,10,10,10
Scam,9,9,9,9
clown,9,9,9,9
puppet,9,9,9,9
Shifty Adam Schiff,9,9,9,9
Amazon Washington Post,9,9,9,9
Dirty Cop,9,9,9,9
doesn’t have a clue,9,9,9,9
Crooked Hillary Clinton,9,9,9,9
dying,9,9,9,9
pathetic,9,9,9,9
fraud,9,9,9,9
out of control,9,9,9,9
stupid,9,9,9,9
very dishonest,9,9,9,9
Crazy Nancy Pelosi,8,8,8,8
Bad!,8,8,8,8
Nervous Nancy,8,8,8,8
low ratings,8,8,8,8
vicious,8,8,8,8
Shifty,8,8,8,8
Radical Left Democrats,8,8,8,8
RIGGED,8,8,8,8
unfair,8,8,8,8
WITCH HUNT!,8,8,8,8
Fredo,8,8,8,8
Swamp,7,7,7,7
Impeachment Scam,7,7,7,7
Crazy Bernie Sanders,7,7,7,7
bad,7,7,7,7
fake news,7,7,7,7
crooked,7,7,7,7
Crooked H,7,7,7,7
highly overrated,7,7,7,7
Dishonest,7,7,7,7
wacky,7,7,7,7
dead,7,7,7,7
The Enemy of the People,7,7,7,7
Witch Hunt Hoax,7,7,7,7
Sleepy Eyes,7,7,7,7
lied,7,7,7,7
Obstructionist,7,7,7,7
Fake News CNN,7,7,7,7
Phony Witch Hunt,7,7,7,7
Concast,7,7,7,7
Wacky,7,7,7,7
a mess,7,7,7,7
a total disaster,7,7,7,7
Nervous Nancy Pelosi,6,6,6,6
Psycho Joe Scarborough,6,6,6,6
Enemy of the People,6,6,6,6
disgraced,6,6,6,6
totally dishonest,6,6,6,6
Rigged Election,6,6,6,6
Mini,6,6,6,6
SAD!,6,6,6,6
dishonest reporting,6,6,6,6
17 Angry Democrats,6,6,6,6
Failing New York Times,6,6,6,6
a disgrace,6,6,6,6
should be fired,6,6,6,6
don’t have a clue,6,6,6,6
Terrible!,6,6,6,6
dumb,6,6,6,6
disastrous,6,6,6,6
totally partisan Impeachment Hoax,6,6,6,6
Lamestream,6,6,6,6
failed presidential candidate,6,6,6,6
"taking U.S. money for years, and doing ABSOLUTELY NOTHING for us",5,5,5,5
Rigged!,5,5,5,5
unwatchable,5,5,5,5
disgraceful,5,5,5,5
should be ashamed of himself,5,5,5,5
should be ashamed,5,5,5,5
very unfair,5,5,5,5
sad,5,5,5,5
fake,5,5,5,5
highly conflicted,5,5,5,5
really dumb,5,5,5,5
horrendous,5,5,5,5
Fraud,5,5,5,5
crazed,5,5,5,5
fool,5,5,5,5
hypocrite,5,5,5,5
Wacko,5,5,5,5
one of the biggest liars and leakers in Washington,5,5,5,5
Fiction writers!,5,5,5,5
dumb as a rock,5,5,5,5
Joe Hiden’,5,5,5,5
Fake Media,5,5,5,5
Fake News @CNN,5,5,5,5
disaster,5,5,5,5
Not good!,5,5,5,5
Presidential Harassment,5,5,5,5
Little,5,5,5,5
so inaccurate,5,5,5,5
the enemy of the American People!,5,5,5,5
lying,5,5,5,5
Fake Dossier,5,5,5,5
Do Nothing,5,5,5,5
getting nothing done,5,5,5,5
a joke!,5,5,5,5
SCAM,4,4,4,4
goofy,4,4,4,4
imploding,4,4,4,4
money losing,4,4,4,4
they should be called out for Election Interference,4,4,4,4
a joke,4,4,4,4
bad ratings,4,4,4,4
worried about the competition and quality of Sinclair Broadcast,4,4,4,4
FBI lover,4,4,4,4
"have taken our money for years, and do Nothing",4,4,4,4
BAD!,4,4,4,4
Fake Suppression Polls,4,4,4,4
long known for being politically corrupt!,4,4,4,4
doesn't have a clue,4,4,4,4
Scam!,4,4,4,4
crazy,4,4,4,4
dope,4,4,4,4
lies to Congress,4,4,4,4
merely offshoots of the DNC,4,4,4,4
Russia Hoax,4,4,4,4
Corrupt Adam Schiff,4,4,4,4
Collusion?,4,4,4,4
Fake & Corrupt News,4,4,4,4
a loser,4,4,4,4
lightweight reporter,4,4,4,4
very weak,4,4,4,4
ineffective,4,4,4,4
Rigged Witch Hunt!,4,4,4,4
inaccurate,4,4,4,4
sooo on the side of the Radical Left Democrats,4,4,4,4
Radical Liberal,4,4,4,4
Presidential Harassment!,4,4,4,4
have done so much dishonest reporting that they should only be allowed to get awards for fiction!,4,4,4,4
"knowingly have a sick and biased AGENDA, ‘Fakers’",4,4,4,4
disgrace,4,4,4,4
desperate,4,4,4,4
no idea what to do,4,4,4,4
Very dishonest!,4,4,4,4
has lost all credibility,4,4,4,4
sleazebag,4,4,4,4
disgusting,4,4,4,4
Lightweight,4,4,4,4
So bad for our Country!,4,4,4,4
Liddle’ Adam Schiff,4,4,4,4
Phony,4,4,4,4
Pathetic!,4,4,4,4
Really sad,4,4,4,4
Sleepy Joe!,4,4,4,4
weak and pathetic,4,4,4,4
totally out of control,4,4,4,4
so dishonest,4,4,4,4
fraudulent,4,4,4,4
Slow Joe,4,4,4,4
dying in the ratings,4,4,4,4
Radical Left Dems,4,4,4,4
Obstruction,3,3,3,3
Psycho,3,3,3,3
incompetence,3,3,3,3
so easy to beat!,3,3,3,3
in favor of the Democrats,3,3,3,3
losers,3,3,3,3
weak & ineffective,3,3,3,3
low-life,3,3,3,3
weak on Crime,3,3,3,3
Obstructionists,3,3,3,3
Fake News Lamestream Media,3,3,3,3
has made so many mistakes,3,3,3,3
Fake Polls,3,3,3,3
bad!,3,3,3,3
solely responsible for the potential loss of our two GREAT Senators from Georgia,3,3,3,3
lost all credibility,3,3,3,3
low energy,3,3,3,3
CORRUPT,3,3,3,3
Deface the Nation,3,3,3,3
Not fair,3,3,3,3
leaders are doing little,3,3,3,3
Lyin’ Brian Williams,3,3,3,3
anti-Trump,3,3,3,3
"the party of high taxes, high crime, open borders, late-term abortion, socialism, and blatant corruption",3,3,3,3
an outrage,3,3,3,3
totally corrupt,3,3,3,3
hoax,3,3,3,3
Cryin Chuck,3,3,3,3
the Enemy of the People!,3,3,3,3
discredited,3,3,3,3
killing the Great State of Virginia,3,3,3,3
boring,3,3,3,3
the dumbest man on television,3,3,3,3
campaign is a disaster,3,3,3,3
so biased toward the Dems it is ridiculous!,3,3,3,3
very dumb,3,3,3,3
Little Rocket Man,3,3,3,3
Little Ben,3,3,3,3
the Radical Left,3,3,3,3
didn’t have a clue,3,3,3,3
Da Nang Dick,3,3,3,3
bought and paid for by lobbyists!,3,3,3,3
dangerous,3,3,3,3
Crazy!,3,3,3,3
Collusion Delusion,3,3,3,3
did a terrible job,3,3,3,3
spied on my campaign,3,3,3,3
very weak and untalented,3,3,3,3
a total hoax,3,3,3,3
very weak on illegal immigration,3,3,3,3
a total loser,3,3,3,3
Fake Story,3,3,3,3
bad judgment,3,3,3,3
Failing @nytimes,3,3,3,3
Corrupt Media,3,3,3,3
has zero credibility,3,3,3,3
Failed presidential candidate,3,3,3,3
"tremendous leaking, lying and corruption at the highest levels",3,3,3,3
disloyal,3,3,3,3
bad judgement,3,3,3,3
Highly conflicted,3,3,3,3
totally unhinged,3,3,3,3
did NOTHING about North Korea,3,3,3,3
totally unelectable,3,3,3,3
very slow on Signature Verification,3,3,3,3
irrelevant,3,3,3,3
